INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy;;PrixMoyenGen
22099;2018;12;0;137400,83;1375,00;100,17;;
22099;2019;13;0;97065,38;1149,38;88,15;;
22099;2020;15;0;135513,67;1315,87;109,13;;
22099;2021;19;0;132324,26;1238,95;105,47;;
22101;2018;15;0;137436,20;1261,00;106,47;;
22101;2019;26;0;128953,46;1265,42;102,50;;
22101;2020;20;0;142932,50;1423,00;101,70;;
22101;2021;25;0;151738,72;1326,68;119,84;;
22103;2018;17;0;217661,76;1968,59;110,53;;
22103;2019;9;0;266838,78;2018,78;126,22;;
22103;2020;23;0;235099,70;2335,30;109,26;;
22103;2021;22;0;232632,23;2192,41;108,86;;
22104;2018;7;0;86771,43;996,43;90,43;;
22104;2019;10;0;104050,00;1055,20;104,40;;
22104;2020;8;0;118262,50;1884,88;63,38;;
22104;2021;13;0;159129,23;1518,08;88,23;;
22105;2018;12;0;141361,25;1610,33;85,00;;
22105;2019;21;1;153734,45;1685,73;103,41;;
22105;2020;8;0;166875,00;1704,13;99,13;;
22105;2021;17;0;198364,71;1988,94;101,76;;
22106;2018;75;13;157214,44;1682,69;95,97;;
22106;2019;85;24;171655,63;1776,23;97,14;;
22106;2020;68;27;153108,13;1893,28;82,21;;
22106;2021;103;24;183072,07;2033,64;91,30;;
22107;2018;28;0;78291,79;895,18;90,57;;
22107;2019;21;0;93083,33;908,48;107,90;;
22107;2020;39;1;99013,75;1063,40;95,68;;
22107;2021;41;0;115447,66;1214,22;91,90;;
22108;2018;1;0;90000,00;3600,00;25,00;;
22108;2020;1;0;142000,00;2219,00;64,00;;
22108;2021;3;0;112833,33;1499,33;75,33;;
22109;2018;10;0;181758,90;1607,10;112,00;;
22109;2019;10;0;132554,20;1368,80;92,00;;
22109;2020;14;0;154128,14;1548,29;106,50;;
22109;2021;12;0;178936,67;1959,00;98,42;;
22110;2018;3;0;185144,67;1770,67;104,00;;
22110;2019;9;0;125100,00;1256,56;109,56;;
22110;2020;8;0;164785,00;1656,75;99,13;;
22110;2021;3;0;133333,33;1510,00;98,00;;
22111;2018;8;0;173375,00;1694,25;97,88;;
22111;2019;6;0;161916,67;1752,50;97,00;;
22111;2020;11;0;220390,00;2221,73;102,55;;
22111;2021;9;0;300667,78;2770,78;95,11;;
